"pid","grp","duration","entry","exit"
2,"wait",1,0,19
2,"vac",3,0,19
2,"obs",15,0,19
9,"wait",1,0,26
9,"vac",9,0,26
9,"obs",15,0,26
10,"wait",1,0,24
10,"vac",7,0,24
10,"obs",15,0,24
13,"wait",1,0,20
13,"vac",3,0,20
13,"obs",15,0,20
14,"wait",1,0,20
14,"vac",3,0,20
14,"obs",15,0,20
17,"wait",1,0,21
17,"vac",4,0,21
17,"obs",15,0,21
34,"wait",1,0,25
34,"vac",8,0,25
34,"obs",15,0,25
39,"wait",2,1,20
39,"vac",3,1,20
39,"obs",15,1,20
41,"wait",2,1,21
41,"vac",4,1,21
41,"obs",15,1,21
47,"wait",2,1,24
47,"vac",6,1,24
47,"obs",15,1,24
49,"wait",2,1,21
49,"vac",4,1,21
49,"obs",15,1,21
52,"wait",2,1,23
52,"vac",4,1,23
52,"obs",15,1,23
54,"wait",2,1,29
54,"vac",9,1,29
54,"obs",15,1,29
58,"wait",2,1,26
58,"vac",5,1,26
58,"obs",15,1,26
69,"wait",2,1,25
69,"vac",3,1,25
69,"obs",15,1,25
74,"wait",3,2,24
74,"vac",2,2,24
74,"obs",15,2,24
77,"wait",3,2,29
77,"vac",6,2,29
77,"obs",15,2,29
78,"wait",3,2,37
78,"vac",14,2,37
78,"obs",15,2,37
81,"wait",3,2,27
81,"vac",3,2,27
81,"obs",15,2,27
84,"wait",3,2,29
84,"vac",5,2,29
84,"obs",15,2,29
85,"wait",3,2,31
85,"vac",7,2,31
85,"obs",15,2,31
88,"wait",3,2,31
88,"vac",7,2,31
88,"obs",15,2,31
90,"wait",3,2,27
90,"vac",3,2,27
90,"obs",15,2,27
95,"wait",3,2,27
95,"vac",2,2,27
95,"obs",15,2,27
97,"wait",3,2,27
97,"vac",2,2,27
97,"obs",15,2,27
98,"wait",3,2,28
98,"vac",2,2,28
98,"obs",15,2,28
111,"wait",4,3,31
111,"vac",4,3,31
111,"obs",15,3,31
112,"wait",4,3,32
112,"vac",5,3,32
112,"obs",15,3,32
118,"wait",4,3,32
118,"vac",4,3,32
118,"obs",15,3,32
124,"wait",4,3,35
124,"vac",7,3,35
124,"obs",15,3,35
128,"wait",4,3,31
128,"vac",2,3,31
128,"obs",15,3,31
129,"wait",4,3,34
129,"vac",5,3,34
129,"obs",15,3,34
132,"wait",4,3,35
132,"vac",5,3,35
132,"obs",15,3,35
136,"wait",5,4,38
136,"vac",8,4,38
136,"obs",15,4,38
138,"wait",5,4,33
138,"vac",3,4,33
138,"obs",15,4,33
141,"wait",5,4,36
141,"vac",5,4,36
141,"obs",15,4,36
143,"wait",5,4,37
143,"vac",6,4,37
143,"obs",15,4,37
152,"wait",5,4,38
152,"vac",6,4,38
152,"obs",15,4,38
155,"wait",5,4,37
155,"vac",6,4,37
155,"obs",15,4,37
158,"wait",5,4,40
158,"vac",8,4,40
158,"obs",15,4,40
159,"wait",5,4,35
159,"vac",3,4,35
159,"obs",15,4,35
163,"wait",5,4,39
163,"vac",6,4,39
163,"obs",15,4,39
164,"wait",5,4,43
164,"vac",10,4,43
164,"obs",15,4,43
168,"wait",5,4,44
168,"vac",11,4,44
168,"obs",15,4,44
171,"wait",6,5,41
171,"vac",6,5,41
171,"obs",15,5,41
172,"wait",6,5,40
172,"vac",5,5,40
172,"obs",15,5,40
176,"wait",6,5,40
176,"vac",5,5,40
176,"obs",15,5,40
183,"wait",6,5,42
183,"vac",6,5,42
183,"obs",15,5,42
186,"wait",6,5,39
186,"vac",3,5,39
186,"obs",15,5,39
189,"wait",6,5,41
189,"vac",5,5,41
189,"obs",15,5,41
195,"wait",6,5,44
195,"vac",7,5,44
195,"obs",15,5,44
